HAP ID,Status,Type,Tenant Zipcode,Total Amount Paid
HAP94,approved,rental,99223,2812
HAP161,approved,rental,99223,4331
HAP185,approved,rental,99223,4686
HAP466,approved,rental,99223,4125
HAP466,approved,rental,99223,1650
HAP461,approved,rental,99223,0
HAP182,approved,rental,99223,6000
HAP539,approved,rental,99223,960
HAP539,approved,rental,99223,544
HAP625,approved,rental,99223,9600
HAP693,approved,rental,99223,3800
HAP693,approved,rental,99223,5700
HAP769,approved,rental,99223,6000
HAP806,approved,rental,99223,4950
HAP775,approved,rental,99223,5225
HAP1343,approved,rental,99223,968
HAP868,approved,rental,99223,6180
HAP935,approved,rental,99223,5600
HAP945,approved,rental,99223,7175
HAP987,approved,rental,99223,4790
HAP999,approved,rental,99223,7035
HAP1000,approved,rental,99223,5405.68
HAP1044,approved,rental,99223,12192
HAP1094,approved,rental,99223,6275
HAP1082,approved,rental,99223,10432.5
HAP325,approved,rental,99223,6100
HAP691,approved,rental,99223,4805
HAP1238,approved,rental,99223,430
HAP1238,approved,rental,99223,430
HAP1238,approved,rental,99223,430
HAP856,approved,rental,99223,6381
HAP1279,approved,rental,99223,7375
HAP1357,approved,rental,99223,16005.6
HAP1410,approved,rental,99223,2556
HAP1402,approved,rental,99223,5160
HAP1467,approved,rental,99223,4848
HAP1560,approved,rental,99223,5500
HAP1588,approved,rental,99223,3500
HAP1641,approved,rental,99223,1785
HAP838,approved,rental,99223,3500
HAP1677,approved,rental,99223,9250
HAP912,approved,rental,99223,5171
HAP1799,approved,rental,99223,3316
HAP1796,approved,rental,99223,7700
HAP226,approved,rental,99223,6570
HAP226,approved,rental,99223,4380
HAP1819,approved,rental,99223,1248
HAP1813,approved,rental,99223,3200
HAP1807,approved,rental,99223,3832
HAP1834,approved,rental,99223,4250
HAP1855,approved,rental,99223,2792
HAP1913,approved,rental,99223,3580
HAP1984,approved,rental,99223,3940
HAP264,approved,rental,99218,6618
HAP417,approved,rental,99218,9956
HAP419,approved,rental,99218,5154
HAP650,approved,rental,99218,3917
HAP666,approved,rental,99218,7500
HAP799,approved,rental,99218,5200
HAP816,approved,rental,99218,11685
HAP892,approved,rental,99218,4976
HAP926,approved,rental,99218,6489
HAP1025,approved,rental,99218,2678
HAP1027,approved,rental,99218,5430
HAP1284,approved,rental,99218,9000
HAP1416,approved,rental,99218,5142
HAP1490,approved,rental,99218,9464
HAP1498,approved,rental,99218,1085
HAP1921,approved,rental,99218,7106.51
HAP1442,approved,rental,99218,11095
HAP1833,approved,rental,99218,7647
HAP1857,approved,rental,99218,3420
HAP2002,approved,rental,99218,4250
HAP273,approved,rental,99217,4400
HAP164,approved,rental,99217,6485
HAP546,approved,rental,99217,3929
HAP578,approved,rental,99217,6000
HAP636,approved,rental,99217,4000
HAP671,approved,rental,99217,3767
HAP712,approved,rental,99217,5250
HAP902,approved,rental,99217,6900
HAP403,approved,rental,99217,14200
HAP1392,approved,rental,99217,4000
HAP1469,approved,rental,99217,8970
HAP1471,approved,rental,99217,5400
HAP191,approved,rental,99217,4000
HAP191,approved,rental,99217,8750
HAP1535,approved,rental,99217,4255
HAP1535,approved,rental,99217,3600
HAP1261,approved,rental,99217,5700
HAP1663,approved,rental,99217,14175
HAP1739,approved,rental,99217,3750
HAP1778,approved,rental,99217,4000
HAP1764,approved,rental,99217,4400
HAP1310,approved,rental,99217,2540
HAP1772,approved,rental,99217,5740
HAP1771,approved,rental,99217,1314
HAP1831,approved,rental,99217,7000
HAP1890,approved,rental,99217,3685
HAP1944,approved,rental,99217,4800
HAP1985,approved,rental,99217,5800
HAP104,approved,rental,99216,1115
HAP209,approved,rental,99216,966
HAP115,approved,rental,99212,1800
HAP1245,approved,rental,99212,3900
HAP1660,approved,rental,99212,5180
HAP1953,approved,rental,99212,8850
HAP134,approved,rental,99208,3825
HAP440,approved,rental,99208,12933
HAP409,approved,rental,99208,8248
HAP219,approved,rental,99208,10350
HAP388,approved,rental,99208,8381.03
HAP321,approved,rental,99208,3800
HAP341,approved,rental,99208,3910
HAP236,approved,rental,99208,11250
HAP237,approved,rental,99208,3599
HAP272,approved,rental,99208,8100
HAP184,approved,rental,99208,11250
HAP118,approved,rental,99208,6425
HAP118,approved,rental,99208,6705
HAP324,approved,rental,99208,4650
HAP324,approved,rental,99208,1025
HAP337,approved,rental,99208,13863.24
HAP173,approved,rental,99208,7475
HAP28,approved,rental,99208,8751.74
HAP91,approved,rental,99208,2078
HAP92,approved,rental,99208,2235
HAP90,approved,rental,99208,6545
HAP90,approved,rental,99208,4675
HAP207,approved,rental,99208,9850
HAP132,approved,rental,99208,14400
HAP394,approved,rental,99208,7389
HAP394,approved,rental,99208,2746.36
HAP163,approved,rental,99208,7233.42
HAP498,approved,rental,99208,6370
HAP514,approved,rental,99208,11220
HAP572,approved,rental,99208,12480
HAP587,approved,rental,99208,14250
HAP592,approved,rental,99208,7986
HAP629,approved,rental,99208,8040
HAP634,approved,rental,99208,8400
HAP661,approved,rental,99208,7124
HAP719,approved,rental,99208,12435.55
HAP751,approved,rental,99208,10221
HAP299,approved,rental,99208,9000
HAP755,approved,rental,99208,9735
HAP866,approved,rental,99208,3020
HAP863,approved,rental,99208,4300
HAP863,approved,rental,99208,4300
HAP607,approved,rental,99208,7700
HAP859,approved,rental,99208,12630
HAP880,approved,rental,99208,3805.09
HAP959,approved,rental,99208,10800
HAP929,approved,rental,99208,9810
HAP946,approved,rental,99208,12670
HAP974,approved,rental,99208,3800
HAP967,approved,rental,99208,9300
HAP1004,approved,rental,99208,11250.06
HAP1007,approved,rental,99208,5945
HAP1023,approved,rental,99208,10543.44
HAP1053,approved,rental,99208,8000
HAP1079,approved,rental,99208,4100
HAP1074,approved,rental,99208,5100
HAP1074,approved,rental,99208,3800
HAP1134,approved,rental,99208,3032.74
HAP1106,approved,rental,99208,8500
HAP1151,approved,rental,99208,3600
HAP1250,approved,rental,99208,9280
HAP349,approved,rental,99208,4980
HAP1318,approved,rental,99208,5555
HAP1318,approved,rental,99208,193.02
HAP1342,approved,rental,99208,6725
HAP1359,approved,rental,99208,3577.5
HAP1259,approved,rental,99208,4020
HAP1390,approved,rental,99208,4125
HAP426,approved,rental,99208,11793.87
HAP955,approved,rental,99208,8033.5
HAP1429,approved,rental,99208,5994.26
HAP1431,approved,rental,99208,9375
HAP1448,approved,rental,99208,7123.5
HAP1464,approved,rental,99208,9120
HAP1451,approved,rental,99208,7220
HAP1496,approved,rental,99208,3800
HAP1555,approved,rental,99208,3875
HAP1572,approved,rental,99208,4040
HAP1585,approved,rental,99208,4421
HAP819,approved,rental,99208,12600
HAP1710,approved,rental,99208,5922.76
HAP1731,approved,rental,99208,3930
HAP1744,approved,rental,99208,963.9
HAP1788,approved,rental,99208,5850
HAP1787,approved,rental,99208,3800
HAP1794,approved,rental,99208,5700
HAP1823,approved,rental,99208,8730
HAP1827,approved,rental,99208,4040
HAP1824,approved,rental,99208,3385
HAP1837,approved,rental,99208,2650
HAP1861,approved,rental,99208,3400
HAP1872,approved,rental,99208,1516
HAP1859,approved,rental,99208,3482
HAP103,approved,rental,99208,3908
HAP103,approved,rental,99208,4885
HAP1889,approved,rental,99208,3800
HAP1896,approved,rental,99208,3700
HAP1935,approved,rental,99208,4548
HAP1931,approved,rental,99208,4750
HAP1954,approved,rental,99208,4200
HAP1957,approved,rental,99208,3680
HAP1958,approved,rental,99208,17550
HAP1952,approved,rental,99208,3350
HAP1951,approved,rental,99208,3144.01
HAP1979,approved,rental,99208,2000
HAP326,approved,rental,99207,14400
HAP436,approved,rental,99207,6130
HAP256,approved,rental,99207,7650
HAP150,approved,rental,99207,6800
HAP253,approved,rental,99207,7970
HAP242,approved,rental,99207,7300
HAP392,approved,rental,99207,3480
HAP430,approved,rental,99207,8450
HAP259,approved,rental,99207,13880
HAP244,approved,rental,99207,3092.88
HAP121,approved,rental,99207,725
HAP123,approved,rental,99207,7700
HAP224,approved,rental,99207,10740
HAP386,approved,rental,99207,2625
HAP361,approved,rental,99207,6590
HAP127,approved,rental,99207,6500
HAP143,approved,rental,99207,6265
HAP38,approved,rental,99207,775
HAP69,approved,rental,99207,2400
HAP27,approved,rental,99207,9840
HAP168,approved,rental,99207,6702
HAP96,approved,rental,99207,6750
HAP105,approved,rental,99207,4070
HAP109,approved,rental,99207,6675
HAP147,approved,rental,99207,6600
HAP169,approved,rental,99207,5500
HAP113,approved,rental,99207,12020
HAP116,approved,rental,99207,5075
HAP199,approved,rental,99207,4225
HAP262,approved,rental,99207,7525
HAP455,approved,rental,99207,8700
HAP517,approved,rental,99207,9722.5
HAP550,approved,rental,99207,5166
HAP556,approved,rental,99207,10350
HAP503,approved,rental,99207,5551
HAP658,approved,rental,99207,5950
HAP716,approved,rental,99207,21600
HAP694,approved,rental,99207,1293.06
HAP718,approved,rental,99207,5565
HAP749,approved,rental,99207,10550
HAP735,approved,rental,99207,2753
HAP741,approved,rental,99207,8050
HAP779,approved,rental,99207,21000
HAP803,approved,rental,99207,4200
HAP183,approved,rental,99207,3250
HAP808,approved,rental,99207,8750
HAP829,approved,rental,99207,6000
HAP842,approved,rental,99207,1500
HAP99,approved,rental,99207,6360
HAP877,approved,rental,99207,6150
HAP896,approved,rental,99207,1395
HAP1329,approved,rental,99207,7650
HAP939,approved,rental,99207,5600
HAP939,approved,rental,99207,5600
HAP964,approved,rental,99207,6885
HAP1036,approved,rental,99207,10305
HAP1059,approved,rental,99207,7028
HAP1076,approved,rental,99207,2700
HAP1107,approved,rental,99207,11640
HAP1128,approved,rental,99207,3600
HAP1166,approved,rental,99207,16682
HAP1199,approved,rental,99207,5200
HAP1206,approved,rental,99207,6800
HAP488,approved,rental,99207,8934
HAP1210,approved,rental,99207,3800
HAP1255,approved,rental,99207,3300
HAP1267,approved,rental,99207,3400
HAP1307,approved,rental,99207,8055
HAP1121,approved,rental,99207,6385
HAP1311,approved,rental,99207,3875
HAP1308,approved,rental,99207,5872
HAP864,approved,rental,99207,4144
HAP327,approved,rental,99207,8750
HAP1354,approved,rental,99207,3800
HAP139,approved,rental,99207,1790
HAP139,approved,rental,99207,2685
HAP139,approved,rental,99207,5970
HAP1347,approved,rental,99207,2764
HAP106,approved,rental,99207,5325
HAP106,approved,rental,99207,5650
HAP397,approved,rental,99207,2810
HAP577,approved,rental,99207,5190
HAP1539,approved,rental,99207,10200
HAP1538,approved,rental,99207,7528.5
HAP1533,approved,rental,99207,7250
HAP1568,approved,rental,99207,5900
HAP1608,approved,rental,99207,4400
HAP1003,approved,rental,99207,9365
HAP1619,approved,rental,99207,2245.6
HAP1656,approved,rental,99207,8550
HAP1651,approved,rental,99207,9800
HAP1509,approved,rental,99207,5700
HAP1046,approved,rental,99207,5750
HAP1675,approved,rental,99207,7786
HAP1691,approved,rental,99207,6250
HAP167,approved,rental,99207,4200
HAP1705,approved,rental,99207,4125
HAP1722,approved,rental,99207,1276
HAP1723,approved,rental,99207,4492
HAP1757,approved,rental,99207,4300
HAP1761,approved,rental,99207,4000
HAP1802,approved,rental,99207,1512
HAP1784,approved,rental,99207,3200
HAP1816,approved,rental,99207,3550
HAP77,approved,rental,99207,12550
HAP1826,approved,rental,99207,1160
HAP569,approved,rental,99207,6210
HAP1775,approved,rental,99207,3700
HAP1845,approved,rental,99207,23400
HAP1864,approved,rental,99207,8970
HAP1853,approved,rental,99207,3400
HAP73,approved,rental,99207,3970
HAP73,approved,rental,99207,1590
HAP73,approved,rental,99207,3180
HAP1878,approved,rental,99207,5400
HAP1883,approved,rental,99207,1192
HAP1927,approved,rental,99207,6000
HAP1947,approved,rental,99207,4000
HAP1928,approved,rental,99207,4375
HAP1933,approved,rental,99207,7350
HAP1939,approved,rental,99207,6000
HAP1968,approved,rental,99207,4000
HAP1960,approved,rental,99207,3400
HAP1972,approved,rental,99207,4080
HAP1977,approved,rental,99207,3128
HAP63,approved,rental,99207,11834.7
HAP63,approved,rental,99207,6826
HAP2008,approved,rental,99207,2620
HAP81,approved,rental,99206,5522
HAP151,approved,rental,99205,2900
HAP320,approved,rental,99205,7500
HAP241,approved,rental,99205,4658
HAP310,approved,rental,99205,11200
HAP448,approved,rental,99205,4400
HAP136,approved,rental,99205,16500
HAP322,approved,rental,99205,7350
HAP258,approved,rental,99205,5375
HAP385,approved,rental,99205,11200
HAP438,approved,rental,99205,6500
HAP438,approved,rental,99205,5200
HAP229,approved,rental,99205,4950
HAP177,approved,rental,99205,3071
HAP267,approved,rental,99205,10000
HAP124,approved,rental,99205,3936
HAP67,approved,rental,99205,363
HAP57,approved,rental,99205,1400
HAP180,approved,rental,99205,7140
HAP97,approved,rental,99205,12000
HAP101,approved,rental,99205,9660
HAP157,approved,rental,99205,1924
HAP95,approved,rental,99205,2785.83
HAP95,approved,rental,99205,1630
HAP204,approved,rental,99205,4200
HAP156,approved,rental,99205,8200
HAP166,approved,rental,99205,1450
HAP246,approved,rental,99205,5688.02
HAP473,approved,rental,99205,9900
HAP531,approved,rental,99205,2356
HAP545,approved,rental,99205,5875
HAP637,approved,rental,99205,8850
HAP688,approved,rental,99205,5200
HAP688,approved,rental,99205,367.84
HAP145,approved,rental,99205,8100
HAP699,approved,rental,99205,12850
HAP762,approved,rental,99205,10050
HAP833,approved,rental,99205,6750
HAP836,approved,rental,99205,6800
HAP664,approved,rental,99205,3980
HAP832,approved,rental,99205,13145
HAP832,approved,rental,99205,13145
HAP854,approved,rental,99205,17070
HAP217,approved,rental,99205,5250
HAP1328,approved,rental,99205,6000
HAP919,approved,rental,99205,6570
HAP1052,approved,rental,99205,6300
HAP1040,approved,rental,99205,13200
HAP1093,approved,rental,99205,6600
HAP1156,approved,rental,99205,5450
HAP1167,approved,rental,99205,4444
HAP1192,approved,rental,99205,10626
HAP1189,approved,rental,99205,9800
HAP1102,approved,rental,99205,8670
HAP1287,approved,rental,99205,5600
HAP1260,approved,rental,99205,3889
HAP1388,approved,rental,99205,5162.25
HAP773,approved,rental,99205,1040
HAP761,approved,rental,99205,12700
HAP761,approved,rental,99205,3600
HAP1432,approved,rental,99205,9800
HAP1476,approved,rental,99205,4125
HAP759,approved,rental,99205,5385
HAP1570,approved,rental,99205,4185
HAP1636,approved,rental,99205,5625
HAP1574,approved,rental,99205,3880
HAP840,approved,rental,99205,3800
HAP1122,approved,rental,99205,5730
HAP1183,approved,rental,99205,3300
HAP1740,approved,rental,99205,3500
HAP1755,approved,rental,99205,4000
HAP1760,approved,rental,99205,710
HAP1789,approved,rental,99205,4000
HAP1786,approved,rental,99205,5800
HAP1804,approved,rental,99205,6400
HAP1838,approved,rental,99205,4095
HAP1874,approved,rental,99205,6600
HAP1877,approved,rental,99205,4991
HAP471,approved,rental,99205,588
HAP1916,approved,rental,99205,4780
HAP1936,approved,rental,99205,13000
HAP1966,approved,rental,99205,8400
HAP1955,approved,rental,99205,1574
HAP1971,approved,rental,99205,5707.6
HAP1973,approved,rental,99205,5600
HAP496,approved,rental,99205,8400
HAP496,approved,rental,99205,5675
HAP450,approved,rental,99204,5324
HAP534,approved,rental,99204,9769
HAP566,approved,rental,99204,8340
HAP815,approved,rental,99204,4125
HAP845,approved,rental,99204,6125
HAP882,approved,rental,99204,5325
HAP943,approved,rental,99204,8400
HAP1087,approved,rental,99204,1450
HAP1369,approved,rental,99204,13430
HAP1400,approved,rental,99204,12600
HAP1503,approved,rental,99204,7425
HAP813,approved,rental,99204,4100
HAP1561,approved,rental,99204,7800
HAP1623,approved,rental,99204,4675
HAP1752,approved,rental,99204,4800
HAP700,approved,rental,99204,9000
HAP700,approved,rental,99204,4800
HAP1897,approved,rental,99204,9900
HAP149,approved,rental,99203,2200
HAP360,approved,rental,99203,6500
HAP172,approved,rental,99203,4975
HAP331,approved,rental,99203,16800
HAP576,approved,rental,99203,11550
HAP627,approved,rental,99203,8650
HAP1254,approved,rental,99203,3550
HAP1657,approved,rental,99203,6000
HAP1698,approved,rental,99203,5500
HAP1793,approved,rental,99203,2725
HAP1856,approved,rental,99203,8075
HAP1881,approved,rental,99203,5300
HAP1941,approved,rental,99203,8558.7
HAP148,approved,rental,99202,4800
HAP389,approved,rental,99202,7300
HAP250,approved,rental,99202,5310
HAP434,approved,rental,99202,1785
HAP245,approved,rental,99202,3750
HAP108,approved,rental,99202,6489
HAP71,approved,rental,99202,2719.85
HAP85,approved,rental,99202,6962
HAP100,approved,rental,99202,7075
HAP205,approved,rental,99202,8563
HAP216,approved,rental,99202,3875
HAP284,approved,rental,99202,3875
HAP458,approved,rental,99202,17040
HAP523,approved,rental,99202,10150
HAP270,approved,rental,99202,1710
HAP651,approved,rental,99202,6600
HAP653,approved,rental,99202,3930
HAP673,approved,rental,99202,5700
HAP752,approved,rental,99202,10500
HAP733,approved,rental,99202,3625
HAP1057,approved,rental,99202,11500
HAP783,approved,rental,99202,6060
HAP783,approved,rental,99202,1400
HAP867,approved,rental,99202,6270
HAP883,approved,rental,99202,1779
HAP973,approved,rental,99202,7950
HAP1056,approved,rental,99202,6000
HAP1050,approved,rental,99202,6877.5
HAP1105,approved,rental,99202,5815.93
HAP1120,approved,rental,99202,6650
HAP1204,approved,rental,99202,1103
HAP383,approved,rental,99202,5275
HAP383,approved,rental,99202,2500
HAP1237,approved,rental,99202,8034
HAP1264,approved,rental,99202,7200
HAP1038,approved,rental,99202,7945
HAP1196,approved,rental,99202,2550
HAP1196,approved,rental,99202,3400
HAP453,approved,rental,99202,2230
HAP841,approved,rental,99202,5600
HAP841,approved,rental,99202,5600
HAP1466,approved,rental,99202,5570
HAP1486,approved,rental,99202,6500
HAP1583,approved,rental,99202,8750
HAP1622,approved,rental,99202,5000
HAP1650,approved,rental,99202,3200
HAP1658,approved,rental,99202,4100
HAP1724,approved,rental,99202,5250
HAP1732,approved,rental,99202,6500
HAP1736,approved,rental,99202,690
HAP1763,approved,rental,99202,4500
HAP1769,approved,rental,99202,6280
HAP1803,approved,rental,99202,8400
HAP1812,approved,rental,99202,4350
HAP1814,approved,rental,99202,4650
HAP1798,approved,rental,99202,3375
HAP1839,approved,rental,99202,3800
HAP1829,approved,rental,99202,6600
HAP1854,approved,rental,99202,4050
HAP1868,approved,rental,99202,2640
HAP1923,approved,rental,99202,6700
HAP1945,approved,rental,99202,3000
HAP1885,approved,rental,99202,3800
HAP1924,approved,rental,99202,5940
HAP1946,approved,rental,99202,6300
HAP690,approved,rental,99202,8970
HAP76,approved,rental,99201,1950
HAP365,approved,rental,99201,2850
HAP231,approved,rental,99201,6115
HAP231,approved,rental,99201,4500
HAP86,approved,rental,99201,3200
HAP86,approved,rental,99201,740
HAP86,approved,rental,99201,3080
HAP107,approved,rental,99201,8185
HAP175,approved,rental,99201,7700
HAP429,approved,rental,99201,3500
HAP233,approved,rental,99201,6500
HAP476,approved,rental,99201,8375
HAP532,approved,rental,99201,9000
HAP1326,approved,rental,99201,3800
HAP758,approved,rental,99201,3610
HAP1338,approved,rental,99201,3000
HAP1338,approved,rental,99201,3000
HAP827,approved,rental,99201,9706
HAP891,approved,rental,99201,3213
HAP921,approved,rental,99201,5975
HAP952,approved,rental,99201,7212
HAP997,approved,rental,99201,5250
HAP997,approved,rental,99201,2095
HAP997,approved,rental,99201,2945
HAP997,approved,rental,99201,484
HAP996,approved,rental,99201,4132
HAP1061,approved,rental,99201,8190
HAP1037,approved,rental,99201,9600
HAP1131,approved,rental,99201,4280
HAP1125,approved,rental,99201,3900
HAP1203,approved,rental,99201,11250
HAP1231,approved,rental,99201,3100
HAP1247,approved,rental,99201,11325
HAP1242,approved,rental,99201,4000
HAP522,approved,rental,99201,13800
HAP1349,approved,rental,99201,6360
HAP774,approved,rental,99201,6400
HAP1387,approved,rental,99201,5670
HAP1491,approved,rental,99201,4900
HAP1518,approved,rental,99201,3925
HAP1512,approved,rental,99201,3630
HAP1513,approved,rental,99201,4200
HAP302,approved,rental,99201,15505
HAP220,approved,rental,99201,15082
HAP1729,approved,rental,99201,3750
HAP1756,approved,rental,99201,3573
HAP1746,approved,rental,99201,8950
HAP1759,approved,rental,99201,12000
HAP1774,approved,rental,99201,17600
HAP1791,approved,rental,99201,4920
HAP1836,approved,rental,99201,3200
HAP1858,approved,rental,99201,5850
HAP1895,approved,rental,99201,5550
HAP1940,approved,rental,99201,5100
HAP1937,approved,rental,99201,22800
HAP1355,approved,rental,99037,3640
HAP274,approved,rental,99019,5520
HAP1219,approved,rental,99006,1500
HAP35,approved,rental,99004,3365
HAP1306,approved,rental,99004,1140.95
HAP1306,approved,rental,99004,825.5
HAP222,approved,rental,99001,1704
HAP374,approved,rental,99001,380
